pojemnosc_baku,marka,moc,spalanie
34,pontiac,785,16
87,audi,703,17
37,audi,126,13
43,skoda,165,14
79,pontiac,993,17
81,mercedes,580,13
75,ferrari,559,19
97,porsche,609,6
76,volkswagen,377,6
37,volkswagen,626,7
80,skoda,912,7
77,mitsubishi,876,19
96,porsche,434,12
40,mitsubishi,836,19
44,ferrari,704,13
92,mitsubishi,682,7
61,porsche,589,20
88,ferrari,117,8
69,mitsubishi,657,16
56,skoda,247,19
94,pontiac,273,17
46,porsche,258,5
94,audi,570,11
43,audi,699,6
20,mitsubishi,729,20
70,porsche,960,7
90,skoda,200,7
20,ferrari,787,13
96,skoda,87,9
42,mitsubishi,278,15
79,skoda,821,15
84,ferrari,332,10
68,ferrari,723,15
49,mercedes,116,10
50,ferrari,818,12
38,volkswagen,949,12
99,porsche,674,10
31,ferrari,647,8
58,ferrari,256,16
35,audi,961,17
51,volkswagen,873,10
98,volkswagen,797,9
38,skoda,754,14
64,porsche,312,13
88,pontiac,455,12
54,pontiac,925,9
80,pontiac,997,8
66,skoda,582,16
28,porsche,114,8
92,pontiac,439,10
22,volkswagen,910,12
77,mitsubishi,163,13
63,volkswagen,359,19
60,pontiac,56,13
38,mercedes,692,17
25,pontiac,629,18
56,pontiac,263,7
61,audi,680,13
40,mitsubishi,435,8
45,pontiac,737,8
30,mitsubishi,358,10
26,skoda,608,19
87,ferrari,630,11
20,volkswagen,499,18
36,porsche,509,10
31,pontiac,746,6
62,toyota,338,12
48,mercedes,885,13
98,mercedes,862,16
34,porsche,496,17
47,ferrari,923,13
20,ferrari,824,8
44,toyota,69,19
68,porsche,616,10
43,mitsubishi,354,20
99,ferrari,150,18
68,porsche,400,19
37,pontiac,261,8
27,skoda,56,13
87,porsche,182,18
45,volkswagen,578,11
73,toyota,476,5
68,pontiac,703,9
43,pontiac,867,12
65,volkswagen,966,15
38,ferrari,913,19
29,mitsubishi,729,15
49,porsche,254,6
44,ferrari,742,6
45,mitsubishi,423,16
96,toyota,277,18
92,pontiac,961,20
76,audi,465,5
61,mitsubishi,697,9
37,pontiac,595,18
95,audi,479,6
88,pontiac,446,16
43,toyota,197,17
66,mercedes,393,13
35,pontiac,892,6
98,mercedes,429,18
75,volkswagen,524,14
92,mitsubishi,682,15
78,mercedes,705,16
65,toyota,183,13
93,volkswagen,432,7
57,mitsubishi,802,10
72,audi,90,16
69,toyota,745,6
88,skoda,383,5
47,mercedes,151,19
86,toyota,370,13
21,mercedes,457,14
49,porsche,409,12
28,skoda,433,20
54,pontiac,880,8
53,toyota,783,11
23,toyota,119,7
48,pontiac,365,17
70,toyota,700,19
43,audi,260,20
28,ferrari,639,16
64,mercedes,457,13
33,volkswagen,942,10
93,ferrari,332,10
60,toyota,954,12
28,pontiac,900,12
38,skoda,219,8
75,mitsubishi,433,17
32,mercedes,990,8
83,mercedes,353,6
51,mitsubishi,438,8
42,volkswagen,956,14
41,ferrari,791,20
26,audi,975,20
26,toyota,878,12
67,pontiac,747,12
83,skoda,726,11
55,mercedes,717,19
46,porsche,294,15
36,audi,361,9
79,mercedes,875,9
41,audi,239,13
28,toyota,902,18
88,mitsubishi,912,11
46,skoda,747,13
96,ferrari,541,11
27,ferrari,206,8
62,mercedes,688,9
88,pontiac,822,12
70,ferrari,589,7
72,mitsubishi,214,12
94,pontiac,748,7
58,pontiac,343,17
27,pontiac,147,20
96,audi,514,9
63,mercedes,623,19
46,pontiac,406,12
52,skoda,330,11
55,porsche,484,7
84,skoda,763,12
28,mitsubishi,210,17
100,pontiac,705,7
100,skoda,576,7
57,mercedes,832,9
24,toyota,178,6
63,ferrari,98,11
95,audi,829,18
83,ferrari,403,6
93,pontiac,711,14
28,volkswagen,866,6
85,ferrari,484,18
23,mercedes,588,15
94,audi,573,5
68,audi,168,5
48,porsche,227,17
70,volkswagen,479,19
22,toyota,494,6
68,toyota,209,18
76,ferrari,537,18
48,mitsubishi,933,19
65,pontiac,162,13
56,porsche,373,10
34,pontiac,272,9
53,porsche,362,14
22,audi,281,20
46,ferrari,532,5
73,volkswagen,704,13
26,audi,77,10
89,porsche,373,16
92,mitsubishi,708,6
88,mercedes,994,18
59,porsche,714,10
74,toyota,886,20
53,porsche,654,18
86,mitsubishi,723,11
90,mitsubishi,62,14
55,mitsubishi,879,7
36,audi,883,10
64,ferrari,758,16
91,mercedes,816,8
58,mercedes,989,19
35,audi,77,8
76,volkswagen,813,16
29,skoda,381,15
70,ferrari,735,17
28,volkswagen,307,17
28,ferrari,246,13
36,pontiac,94,11
29,porsche,565,13
65,pontiac,629,10
22,ferrari,455,19
93,mitsubishi,821,5
76,audi,976,10
21,skoda,906,7
68,mitsubishi,228,6
59,volkswagen,453,13
43,audi,421,12
21,toyota,472,6
77,porsche,737,16
54,mitsubishi,993,10
67,mercedes,830,10
86,ferrari,356,8
46,toyota,872,18
62,pontiac,583,14
32,toyota,317,11
25,mercedes,604,16
33,porsche,270,18
55,mercedes,739,6
36,toyota,730,16
23,mercedes,371,14
55,toyota,492,10
50,ferrari,668,11
73,volkswagen,581,12
50,audi,794,12
58,toyota,518,19
72,mercedes,811,11
32,porsche,155,15
80,skoda,599,17
97,mercedes,153,15
35,audi,674,11
32,mercedes,481,6
51,audi,888,8
46,audi,482,19
33,porsche,72,20
50,audi,106,13
72,toyota,539,18
70,skoda,804,10
39,volkswagen,150,16
95,volkswagen,724,8
83,toyota,469,15
75,pontiac,469,9
46,volkswagen,718,10
66,audi,51,9
66,mercedes,814,12
77,toyota,308,6
62,porsche,555,8
75,porsche,227,19
31,toyota,997,9
68,porsche,392,11
48,pontiac,404,14
57,mercedes,851,10
85,mercedes,678,7
46,mercedes,61,17
54,toyota,390,13
95,volkswagen,392,10
71,pontiac,84,17
69,toyota,738,7
40,mercedes,530,15
95,audi,634,12
86,skoda,260,12
21,volkswagen,80,12
44,pontiac,353,20
56,pontiac,368,13
96,skoda,461,15
39,volkswagen,797,16
92,ferrari,512,17
52,audi,519,19
66,pontiac,267,6
93,toyota,75,18
44,mitsubishi,612,14
71,ferrari,610,7
54,mitsubishi,730,13
36,pontiac,263,12
38,mitsubishi,531,9
59,volkswagen,530,14
31,ferrari,172,7
58,audi,342,13
71,ferrari,413,13
98,mitsubishi,128,9
72,skoda,908,11
79,mitsubishi,654,10
66,mitsubishi,772,20
63,toyota,327,13
36,skoda,654,18
47,ferrari,316,18
99,skoda,145,9
29,ferrari,98,8
95,pontiac,307,20
64,pontiac,189,8
45,mitsubishi,105,11
40,toyota,364,9
44,mercedes,723,15
75,ferrari,295,9
38,audi,384,18
23,porsche,302,19
62,toyota,344,9
24,volkswagen,158,19
37,skoda,207,20
42,mercedes,875,12
66,mercedes,856,5
31,audi,474,10
88,pontiac,723,15
22,ferrari,125,7
75,pontiac,61,17
41,volkswagen,439,18
76,mercedes,285,15
98,ferrari,644,13
26,porsche,50,13
66,mitsubishi,895,13
22,toyota,262,5
81,audi,940,17
34,volkswagen,717,7
56,audi,79,10
41,pontiac,870,13
98,ferrari,76,12
44,porsche,665,14
60,ferrari,421,7
49,pontiac,981,15
64,pontiac,260,18
91,pontiac,709,10
74,mitsubishi,341,18
51,skoda,733,13
41,mercedes,403,14
28,mercedes,65,20
62,pontiac,899,19
79,skoda,122,8
81,volkswagen,894,16
36,toyota,895,10
33,mitsubishi,883,6
91,mercedes,309,18
43,volkswagen,203,10
22,porsche,171,9
88,mitsubishi,766,11
75,volkswagen,864,13
91,pontiac,995,11
34,volkswagen,174,9
57,skoda,988,7
91,volkswagen,516,14
31,porsche,667,12
59,porsche,530,7
88,skoda,888,10
28,mitsubishi,188,18
24,pontiac,548,9
97,toyota,980,18
22,toyota,457,18
22,skoda,607,10
50,mercedes,293,12
98,mitsubishi,776,16
78,pontiac,198,14
21,toyota,966,6
57,toyota,88,18
37,audi,799,10
29,porsche,865,11
25,ferrari,201,6
99,skoda,440,12
94,pontiac,636,9
40,mitsubishi,74,14
47,porsche,989,14
87,audi,999,8
47,mercedes,509,15
81,toyota,786,12
21,skoda,745,9
79,toyota,540,6
48,mitsubishi,658,16
58,ferrari,950,10
30,pontiac,782,9
22,skoda,132,7
37,porsche,257,8
47,toyota,688,8
49,mitsubishi,614,14
85,volkswagen,161,19
56,pontiac,105,10
66,ferrari,905,6
28,mitsubishi,906,16
90,mercedes,777,18
92,audi,277,8
68,porsche,358,17
96,audi,603,19
50,toyota,932,5
28,porsche,175,18
87,audi,989,12
93,toyota,274,16
31,mercedes,607,15
27,audi,226,6
35,mercedes,603,18
55,ferrari,979,12
71,mercedes,967,11
64,toyota,777,14
54,audi,347,12
46,porsche,453,18
62,mercedes,740,12
38,volkswagen,290,15
34,volkswagen,954,16
36,audi,815,19
52,ferrari,587,5
65,skoda,906,9
22,skoda,266,6
66,skoda,748,19
67,pontiac,207,14
50,porsche,597,12
68,toyota,209,18
43,mitsubishi,239,10
56,skoda,422,7
21,porsche,383,11
87,volkswagen,152,12
29,ferrari,627,7
80,ferrari,432,11
61,ferrari,702,18
44,audi,376,19
53,pontiac,564,11
70,skoda,380,18
99,audi,731,15
49,volkswagen,128,19
53,ferrari,426,12
57,mercedes,527,9
39,skoda,181,11
23,skoda,90,18
60,skoda,152,14
38,volkswagen,744,17
26,toyota,566,18
30,porsche,399,7
76,ferrari,330,8
85,audi,531,14
62,porsche,956,15
95,audi,250,7
62,audi,448,15
62,mercedes,728,6
57,volkswagen,578,20
90,mercedes,952,11
92,pontiac,315,17
51,audi,174,13
36,mercedes,275,13
86,volkswagen,481,18
82,audi,656,16
92,mitsubishi,972,13
21,ferrari,392,12
53,audi,996,7
38,skoda,340,9
